App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5781306,HDR,04/11/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,05/01/2017 06:00:28 PM
5772975,HDR,03/10/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5773609,HDR,03/13/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5781934,HDR,04/12/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5765401,HDR,02/13/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,05/01/2017 06:00:28 PM
5784261,HDR,04/21/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5778819,HDR,04/03/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5782790,HDR,04/17/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5761490,HDR,01/26/2017,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,"Fingerprints, copy of DMV lic, other. Email newdriverapp@tlc.nyc.gov",05/01/2017 06:00:28 PM
5760358,HDR,01/22/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5784984,HDR,04/24/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5760158,HDR,01/20/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5767972,HDR,02/23/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5786049,HDR,04/27/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5782235,HDR,04/13/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5770040,HDR,03/02/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5765184,HDR,02/10/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,05/01/2017 06:00:28 PM
5769790,HDR,03/01/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,05/01/2017 06:00:28 PM
5756786,HDR,01/08/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5781336,HDR,04/11/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Not Applicable,05/01/2017 06:00:28 PM
5778621,HDR,04/02/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5764116,HDR,02/06/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5755625,HDR,01/04/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5786219,HDR,04/28/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5771313,HDR,03/06/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,05/01/2017 06:00:28 PM
5785527,HDR,04/26/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,05/01/2017 06:00:28 PM
5774076,HDR,03/16/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5786648,HDR,05/01/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5781052,HDR,04/10/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5774385,HDR,03/17/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5775966,HDR,03/22/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,05/01/2017 06:00:28 PM
5779247,HDR,04/04/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5773631,HDR,03/13/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5783981,HDR,04/20/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5786850,HDR,05/01/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5762205,HDR,01/29/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5781288,PDR,04/11/2017,Approved - License Issued,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Not Applicable,05/01/2017 06:00:28 PM
5785347,HDR,04/25/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5784211,HDR,04/20/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5769696,HDR,03/01/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. E-mail newdriverapp@tlc.nyc.gov for more information,05/01/2017 06:00:28 PM
5782595,HDR,04/15/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,05/01/2017 06:00:28 PM
5781483,HDR,04/11/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5779194,HDR,04/04/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5782522,HDR,04/14/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5771982,HDR,03/08/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5776869,HDR,03/26/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5782704,HDR,04/16/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Copy of DMV license needed,05/01/2017 06:00:28 PM
5775072,HDR,03/20/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Email newdriverapp@tlc.nyc.gov,05/01/2017 06:00:28 PM
5765417,HDR,02/13/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5780651,HDR,04/08/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5768570,HDR,02/25/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,05/01/2017 06:00:28 PM
5784187,HDR,04/20/2017,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5778693,HDR,04/02/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5770183,HDR,03/02/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5785720,HDR,04/26/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5784067,HDR,04/20/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,05/01/2017 06:00:28 PM
5779160,HDR,04/03/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5786382,HDR,04/28/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5784802,HDR,04/24/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5762151,HDR,01/28/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5766711,HDR,02/17/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5783598,HDR,04/19/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5779308,HDR,04/04/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,05/01/2017 06:00:28 PM
5764505,HDR,02/07/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license & other items. Email newdriverapp@tlc.nyc.gov,05/01/2017 06:00:28 PM
5759040,HDR,01/17/2017,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5778814,HDR,04/03/2017,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,05/01/2017 06:00:28 PM
5768172,HDR,02/23/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
5785297,HDR,04/25/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,05/01/2017 06:00:28 PM
